NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
ANGPT1	1	1	1	1	1	1	96.1832369857072	1	212.574836582221	1	1	1	1	1
ANGPT2	1	1	1	1	1	1	102.19346015803	21.2569227070968	1	1	1	1	1	1
ANGPTL2	1	1	1	1	1	1	71.0538400276878	45.3195455540065	107.391143437455	1	1	1	1	1
ANK3	16.6283430769438	1	1	34.6064640427636	1	19.6632715336953	1	1	13.0834467207627	1	23.4285778912686	54.6968038480209	1	1
ANKRD22	1	1	31.4727752813563	1	1	1	1	1	1	1	1	1	1	1
ANKRD33B	1	1	1	1	1	34.9230415557636	1	1	12.1166582366365	18.2349552617013	1	1	1	1
ANKRD35	1	1	1	1	1	1	20.537903669673	1	47.3753094027679	1	16.4237383490831	1	54.0850066162728	1
ANKRD55	1	1	1	1	1	1	1	1	1	1	33.9758568444456	1	1	1
ANKRD9	1	1	25.4647834908786	1	1	1	1	1	1	1	1	22.1726875294893	11.6775733635225	34.223100372064
ANKS1B	1	1	1	1	1	1	1	1	1	1	17.805987729817	1	1	1
ANLN	1	1	1	1	1	1	1	1	1	1	1	1	59.3543348164581	1
ANOS1	1	1	1	1	1	1	1	1	1	1	1	145.831342919622	1	1
ANPEP	1	1	83.0128813834713	1	1	1	1	1	1	1	1	40.8634645367513	1	1
ANTXR1	1	1	1	1	1	1	99.6025999043875	1	250.253156909084	1	1	1	1	1
ANXA1	1549.67005622336	89.700388398469	782.030426105144	2161.61887478451	729.765617228698	1	253.829825190448	442.175525231446	461.514027983806	77.5740550893075	374.983991793545	89.8926494687677	512.615395573632	4066.18508399074
ANXA3	1	1	1	1	1	1	1	57.7512426891934	1	1	1	101.188258923164	1	1
AOAH	123.967928795076	1	69.685063562498	35.2907537166861	120.976624587979	1	1	1	1	1	1	1	29.9729164267994	1
AOC3	1	1	1	1	1	1	221.855336777933	1	221.598047271917	1	1	1	1	1
AP000787.1	1	13.691954504656	1	1	1	13.0470467131915	1	1	1	1	18.2878509051908	1	1	1
AP005019.1	1	1	1	1	14.4816808457372	1	1	1	1	1	1	1	1	31.0525816090375
AP005482.1	1	1	1	1	34.4222699354793	1	1	1	1	1	1	1	1	1
AP1M2	1	1	1	1	1	1	1	1	1	1	1	69.3398560007621	1	1
AP1S3	1	1	1	1	1	36.6218812740603	1	1	1	1	1	16.471865809591	13.7467904747003	41.9206216897946
AP3M2	28.1516761032866	36.7864246825825	1	60.8611578635382	20.671107255577	15.955567691487	20.3726676234766	36.1066092665331	1	1	43.8216057716793	1	20.4087332551295	1
AP4E1	1	1	1	1	18.5886095922515	1	1	1	1	1	1	1	1	1
AP5B1	1	1	26.5694375925588	1	1	1	1	1	1	1	1	1	1	1
APBA2	29.6495788166968	1	1	20.621370588008	44.0289176962733	1	1	1	18.4354091273971	1	1	1	16.8907581993878	1
APLNR	1	1	1	1	1	1	1	55.0216666470376	1	1	1	1	1	1
APOBEC3A	1	1	35.9848990774293	1	1	1	1	1	1	1	1	1	1	1
APOBEC3B	1	1	1	1	1	1	1	1	1	1	1	1	56.8607215976733	1
APOBEC3G	276.871342753278	66.4644762205824	30.9090663923635	98.7799240873052	234.910830106195	56.7540087596185	21.3539726637402	29.3375879040276	12.5010864577222	61.7083533696391	142.554594367309	1	301.582578363849	13.5974776522552
APOBEC3H	38.763966133024	14.1111394576803	1	29.0058800285058	20.886605931789	1	1	1	1	1	42.0743633875951	1	61.1062870508555	1
APOBR	1	1	43.8972597300728	1	15.6893345597536	1	1	1	1	1	1	1	1	15.5134650992822
APOC1	1	1	1068.10184292499	1	1	1	58.3849830408347	1	25.7028134575433	1	1	11.5551393201819	1	57.2720198034589
APOC2	1	1	71.6855839283551	1	1	1	1	1	1	1	1	1	1	33.5838345549621
APOD	1	1	1	1	1	1	1	51.3944516216922	460.344354285329	1	1	42.0302004672787	1	1
APOE	1	1	1311.92944657701	1	1	1	296.695555794362	1	178.132007699942	1	1	56.4908290177689	1	1
APP	1	1	70.7064397983346	24.1471039087445	1	26.5620781643391	301.215084907087	809.949920956178	242.949645163427	1	22.8543776517168	128.938063037737	1	1
AQP1	1	1	1	1	1	1	39.4451981622809	1104.19136270413	1	1	1	1	1	1
